"* Required Fields","* Campos Obrigatórios"
"Change Account Password","Alterar Senha da Conta"
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Password","Alterar Senha"
"Change Shipping Address","Alterar Endereço de Entrega"
"City","Cidade"
"Company","Profissão"
"Config","Config"
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Confirmation Link Email","Email com Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções ao Criar Uma Nova Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar Conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço cliente"
"Current Password","Senha Atual"
"Customer","Cliente"
"Customer Account Edit Form","Form Editar Conta de Cliente"
"Customer Account Login Form","Form Login Conta de Cliente"
"Customer Account Logout Success","Conta de Cliente Saiu com Sucesso"
"Customer Account Registration Form","Form de Registro de Conta de Cliente"
"Customer Addresses","Endereços do Cliente"
"Customer Api","Api Cliente"
"Customer Configuration","Configurações"
"Customer Forgot Password Form","Formulário Cliente Esqueceu a Senha"
"Customer Group","Grupo do Cliente"
"Customer Group was successfully deleted","Grupo de Clientes foi excluído com sucesso"
"Customer Group was successfully saved","Grupo de Clientes foi salvo com sucesso"
"Customer Groups","Grupo de Clientes"
"Customer Information","Informações do Cliente"
"Customer Login","Login de Cliente"
"Customer My Account (All Pages)","Cliente Minha Conta (Todas as Páginas)"
"Customer My Account Address Book","Cliente Minha Conta Livro de Endereços"
"Customer My Account Address Edit Form","Cliente Minha Conta Endereço Editar Form"
"Customer My Account Dashboard","Cliente Minha Conta Painel de Controle"
"Customer Since","Cliente Desde"
"Customer View","Detalhes"
"Customer collection expected","Coleção de cliente é esperado"
"Customer doesn\'t have default billing address","Cliente não possui um endereço do cobrança padrão"
"Customer email already exists","Email do cliente já existe"
"Customer email is required","Email do cliente é obrigatório"
"Customer website id must be specified, when using website scope.","Id do website do cliente precisa ser informado, quando usar escopo website."
"Customer will stay on the current page if ""No"" is selected","Cliente ficará na mesma página se ""No"" for selecionado"
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Seção Clientes"
"DD","DD"
"Date","Data"
"Date Added","Data Adicionada"
"Date of Birth","Aniversário"
"Date of Birth is required.","Data do Aniversário é obrigatória."
"Day","Dia"
"Days in Wishlist","Dias na Lista"
"Default Addresses","Endereço Principal"
"Default Billing Address","Endereço de Cobrança Principal"
"Default Email Domain","Domínio do Email Padrão"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço de Entrega Principal"
"Default Welcome Email","Email de Boas Vindas Padrão"
"Delete","Excluir"
"Delete Address","Excluir"
"Delete Customer","Excluir"
"Delete Customer Group","Excluir"
"Delete customer","Excluir"
"Delete customer address","Excluir"
"Deleted Stores","Excluir Lojas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar Dados de Acesso"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Group ""%s""","Editar Grupo ""%s"""
"Edit Customer Groups","Editar Grupo"
"Edit Customer's Address","Editar Endereços dos Clientes"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Email Address","Endereço de Email"
"Email Sender","Remetente de Email"
"Email:","Email:"
"Entity collection is expected","Coleção de entidades é esperado"
"Error during retrieval of option value: %s","Erro ao tentar recuperar valores da opção: %s"
"Failed to confirm customer account.","Falha ao confirmar conta da cliente."
"Fax","Fax"
"First Name","Nome"
"First name can\'t be empty","Nome deve ser preenchido"
"Forgot Email Sender","Informe o Remetente de Email"
"Forgot Email Template","Informe o Modelo de Email"
"Forgot Your Password?","Esqueceu sua Senha?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aqui é possível ver um resumo das suas atividades e atualizar suas informações. Escolha um dos links abaixo para ver ou editar as informações."
"Gender","Sexo"
"Gender is required.","Sexo é obrigatório."
"General Subscription","Assinatura Geral"
"Generate Human-Friendly Customer ID","Gerar ID do Cliente Amigável"
"Global","Global"
"Grand Total","Geral Total"
"Group","Grupo"
"Group ""%s"" can not be deleted","Grupo ""%s"" não pode ser excluído"
"Group Information","Informações de Grupo"
"Group Name","Nome"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","Olá, %s!"
"ID","ID"
"IP Address","IP"
"If you have an account with us, please log in.","Se já possui uma conta, informe os dados de acesso."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválido especificado para o atributo %s (%s), pular registro"
"Invalid attribute set specified, skipping the record","Atributo selecionado é inválido, ignorando registro"
"Invalid current password","Senha atual é inválida"
"Invalid customer data","Informações de cliente é inválida"
"Invalid email address","Endereço de email é inválido"
"Invalid email address ""%s""","Endereço de email é inválido ""%s"""
"Invalid login or password.","Login ou senha inválido."
"Invalid option id specified for %s (%s), skipping the record","Opção de id selecionado é inválido para %s (%s), ignorando registro"
"Invalid store specified, skipping the record","Loja informada é inválida, ignorando registro"
"Last Activity","Última Atividade"
"Last Name","Sobrenome"
"Last Url","Última Url"
"Last date subscribed","Última data de assinatura"
"Last date unsubscribed","Última data de cancelamento de assinatura"
"Last name can\'t be empty","Sobrenome é obrigatório"
"Leave empty for default (15 minutes).","Deixe em branco para usar o padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para usar o padrão (2). Faixa válida: 1-4"
"Lifetime Sales","Ciclo de Vendas"
"Log In","Entrar"
"Log Out","Sair"
"Login","Entrar"
"Login Information","Dados de Acesso"
"Login Options","Opções de Login"
"Login and password are required","Login e senha são obrigatórios"
"Login or Create an Account","Cadastre-se ou Acesse sua conta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gerenciar Endereços"
"Manage Customers","Gerenciar Clientes"
"Missing email, skipping the record","Faltando email, ignorando registro"
"Missing firstname, skipping the record","Faltando nome, ignorando registro"
"Missing lastname, skipping the record","Faltando sobrenome, ignorando registro"
"Month","Mês"
"My Account","Meus Pedidos"
"My Dashboard","Geral"
"My Orders","Meus Pedidos"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address","Novo Endereço"
"New Address Entry","Nova Entrada de Endereço"
"New Customer","Criar Cliente"
"New Customer Address","Novo Endereço de Cliente"
"New Customer Group","Novo Grupo de Clientes"
"New Customer Groups","Novo Grupo de Clientes"
"New Customers","Cadastre-se"
"New Group","Novo Grupo"
"New Password","Nova Senha"
"New account","Nova Conta"
"New account confirmation key","Nova chave de confirmação de conta"
"New account confirmed","Nova confirmação de conta"
"New password","Nova senha"
"Newsletter","Newsletter"
"Newsletter Finish","Newsletter Terminado"
"Newsletter Information","Informação de Newsletter"
"Newsletter Received","Newsletter Recebida"
"Newsletter Start","Newsletter Iniciado"
"Newsletter Subscription","Assinatura de Newsletter"
"Newsletters","Newsletters"
"No Items Found","Nenhum Item Encontrado"
"No Newsletter Found","Nenhuma Newsletter Encontrada"
"No customer collections found","Nenhuma coleção de cliente encontrado"
"No item specified.","Nenhum item selecionado."
"Not Sent","Não Enviado"
"Not confirmed, can login","Não confirmado, pode logar"
"Not confirmed, cannot login","Não conformado, não pode logar"
"Number of lines in a street address ","Número de linhas para endereço "
"Offline","Offline"
"Online","Online"
"Online Customers","Clientes Online"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Verificar em Intervalos"
"Order #","Pedido #"
"Order Total","Total do Pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Senha"
"Password Management","Gerenciar Senha"
"Password Options","Opções de Senha"
"Password can\'t be empty","Senha não pode ficar em branco"
"Password fields can\'t be empty.","Campos de senha não podem ficar em branco."
"Password forgotten","Senha esquecida"
"Password minimal length must be more %s","Tamanho mínimo para senha %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Senha precisa ter pelo menos 6 caracteres. Espaços a direita e a esquerda serão ignorados."
"Password:","Senha:"
"Paused","Parado"
"Pending","Pendente"
"Per Website","Por Sistema"
"Personal Information","Dados Pessoais"
"Please enter your email below and we\'ll send you a new password.","Informe seu email e enviaremos uma nova senha."
"Please enter your email below and we\'ll send you confirmation link for it.","Informe seu email e enviaremos um link de confirmação para isso."
"Please enter your email.","Informe seu email."
"Please make sure your passwords match.","Verifique as senhas digitadas."
"Please select","Selecione..."
"Please select region, state or province","Selecione a região, estado ou bairro"
"Please, check your e-mail for confirmation key.","Verifique a chave de confirmação no seu email."
"Prefix","Prefixo"
"Prefix dropdown options","Opções de prefixo do dropdown"
"Price","Preço"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar coleção, abortando. Erro: %s"
"Product","Produto"
"Product ID","ID do Produto"
"Product Name","Nome do Produto"
"Product Reviews","Avaliação do Produto"
"Product Tags","Tags do Produto"
"Product name","Nome do Produto"
"Purchase On","Comprado Em"
"Purchased at","Comprado Em"
"Qty","Quantidade"
"Recent Orders","Últimos Pedidos"
"Records for ""","Registros para """
"Redirect Customer to Account Dashboard after Logging in","Redirecionar o Cliente para Painel da Conta depois de efetuar login"
"Refunded","Reembolsado"
"Registered Customers","Minha Conta"
"Remove","Excluir"
"Require Emails Confirmation","Necessário Confirmar por Email"
"Retrieve address data","Recuperar informações de endereço"
"Retrieve address info","Recuperar informações de endereço"
"Retrieve customer addresses","Recuperar endereços de cliente"
"Retrieve customer data","Recuperar dados de cliente"
"Retrieve customer groups","Recuperar grupos de cliente"
"Retrieve customer info","Recuperar informações de cliente"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recuperar link de confirmação aqui"
"Retrieve your password here","Recuperar sua senha aqui"
"SKU","SKU"
"Sales Statistics","Estatísticas de Venda"
"Save","Salvar"
"Save Address","Salvar"
"Save And Continue Edit","Salvar e Continuar"
"Save Customer","Salvar"
"Save Customer Group","Salvar"
"Save Password","Salvar Senha"
"Saved ","Salvar "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Ponto e vírgula (;) separa valores.<br/>Coloque ponto e vírgula no início para deixar primeiro opção em branco.<br/>Deixe em branco para abrir campo de texto."
"Send From","Enviar De"
"Send Welcome Email after Confirmation","Enviar email de boas-vindas após confirmação"
"Send auto-generated password","Enviar senha automática"
"Send confirmation link","Enviar link de confirmação"
"Send welcome email","Enviar email de boas-vindas"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de Entrada"
"Set as Default Billing Address","Marcar como endereço de cobrança padrão"
"Set as Default Shipping Address","Marcar como endereço de entrega padrão"
"Share Customer Accounts","Compartilhar Contas de Clientes"
"Shipped to First Name","Entregue para o Nome"
"Shipped to Last Name","Entregue para o Sobrenome"
"Shipped to Name","Entregue para"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de Compras - %d item(s)"
"Show Tax/VAT number","Exibir CPF"
"Show date of birth","Exibir Data de Nascimento"
"Show gender","Exibir Sexo"
"Show middle name (initial)","Exibir Nome do Meio (inicial)"
"Show prefix","Exibir Prefixo"
"Show suffix","Exibir Sufixo"
"Sign Up for Newsletter","Desejo receber ofertas por email"
"Skip import row, required field ""%s"" not defined","Pular importação da linha, campo obrigatório ""%s"" não informado"
"Skip import row, website ""%s"" field not exists","Pular importação da linha, website ""%s"" campo não existe"
"State/Province","Estado"
"Status","Status"
"Store","Loja"
"Store View","Visão"
"Street Address","Rua"
"Street Address ","Rua "
"Subject","Assunto"
"Submit","Enviar"
"Subscribe to newsletter","Assinar newsletter"
"Subscribed to Newsletter?","Assinar Newsletter?"
"Suffix","Sufixo"
"Suffix dropdown options","Opções de sufixo dropdown"
"TAX/VAT number is required.","TAX/VAT numero é obrigatório."
"Tag Name","Nome da Tag"
"Tax Class","Classe de Impostos"
"Tax class","Classe de impostos"
"Tax/VAT number","Tax/VAT número"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Texto Uma Linha"
"Thank you for registering with %s","Obrigado por se registrar com %s"
"The address does not belong to this customer","O endereço não pertence a este cliente"
"The address was successfully deleted","O endereço foi excluído com sucesso"
"The address was successfully saved","O endereço foi salvo com sucesso"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo vem depois do nome (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título vem antes do nome (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Não possui itens nos favoritos dos clientes neste momento"
"There are no items in customer\'s shopping cart at the moment","Não possui itens no carrinho de compras do cliente neste momento"
"There is already an account with this emails address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de email. Se este email pertence a você, <a href=""%s"">clique aqui</a> para recuperar sua senha e o acesso a sua conta."
"There was an error while deleting the address","Ocorreu um erro ao excluir o endereço"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este email será enviado usando o email padrão de boas-vindas, depois de confirmar a conta."
"This account is not confirmed.","Esta conta não foi confirmada."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Esta conta não foi confirmada. <a href=""%s"">Clique aqui</a> para re-enviar a confirmação por email."
"This customer has no saved addresses.","O cliente não possui endereços salvos."
"This e-mail does not require confirmation.","Este email não requer confirmação."
"This email address was not found in our records","Este email não existe em nossos registros"
"This is My Default %s Address","Este é meu endereço padrão %s "
"To Cart","Comprar"
"Total","Total"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from newsletter","Cancelar newsletter"
"Update","Atualizar"
"Update customer address data","Atualizar informações de endereço do cliente"
"Update customer data","Atualizar informações de cliente"
"Use as My Default %s Address","Usar como Meu Endereço Padrão %s "
"Use as my default billing address","Usar como meu endereço de cobrança"
"Use as my default shipping address","Usar como meu endereço de entrega"
"User description","Usar descrição"
"View","Exibir"
"View Order","Visualizar Pedido"
"Visible In","Visualizar Em"
"Visitor","Visitantes"
"Visitors Only","Apenas Visitantes"
"Website","Website"
"Welcome Email","Email de Boas-Vindas"
"Wishlist","Favoritos"
"Wishlist - %d item(s)","Favoritos - %d item(s)"
"Wrong confirmation key.","Chave de confirmação errada."
"Wrong customer account specified.","Conta de cliente informada não confere."
"Wrong email.","Email Errado."
"Wrong transactional account email type.","Tipo de email de conta transacional não confere."
"XML","XML"
"YYYY","YYYY"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Você não faz parte de nenhuma lista de newsletter."
"You are currently not subscribed to our newsletter","Você atualmente não faz parte de nossa newsletter"
"You are currently subscribed to 'General Subscription'.","Você recebe newsletter de 'Assinatura Geral'."
"You are currently subscribed to our newsletter","Você atualmente recebe nossa newsletter"
"You are currently subscribed to our newsletter.","Você atualmente recebe nossa newsletter."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sua sessão foi finalizada com sucesso, em alguns segundos você será redirecionado a página inicial."
"You have no additional address entries in your address book.","Você não possui outros endereços cadastrados."
"You have no additional entries in your address book.","Você não possui outros endereços no seu livro de endereços."
"You have no default billing address in your address book.","Você não possui um endereço de cobrança no seu livro de endereços."
"You have no default entries in your address book.","Você não possui nenhum endereço no seu livro de endereços."
"You have no default shipping address in your address book.","Você não possui um endereço de entrega principal."
"You have not set a default billing address.","Você não possui um endereço de cobrança padrão."
"You have not set a default shipping address.","Você não possui um endereço de entrega principal."
"You have placed no orders yet.","Você não realizou nenhum pedido ainda."
"You have placed no products yet.","Você não pegou nenhum produto ainda."
"You're now Logged Out","Sessão Finalizada"
"Your account balance is: %s","O balanço da sua conta é: %s"
"ZIP","CEP"
"ZIP/Post Code","Cep"
"Zip/Postal Code","Cep"
"n/a","n/a"
"or","ou"
