"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Não"
"Non-rectangular","Não-retangular"
"Order","Pedido"
"Origin of the shipment","Origem da entrega"
"Oversize","Sobrepeso"
"Package","Embalagem"
"Package Description","Descrição do Pacote"
"Packaging","Embalando"
"Parcel","Encomenda"
"Parcel Post","Encomenda Postal"
"Password","Senha"
"Pickup Method","Forma de Entrega"
"Please enter the package weight","Informe o peso do pacote"
"Please make sure to use only digits here. No dashes are allowed.","Permitido apenas números. Sem traços."
"Pounds","Libras"
"Priority Mail","Entrega Urgente"
"Priority Overnight","No mesmo dia"
"Receiver","Destinatário"
"Rectangular","Retangular"
"Regular","Regular"
"Regular Pickup","Entrega Normal"
"Request Courier","Pedido de Entrega"
"Residential","Residencial"
"Residential Delivery","Entrega Residencial"
"Response is in the wrong format","Formato errado"
"Round","Rodada"
"Second Day Service","Segundo Dia de Serviço"
"Sender","Remetente"
"Ship to Applicable Countries","Entrega para Países Selecionados"
"Ship to Specific Countries","Entrega para Países Específicos"
"Shipment Contains Hazardous Materials","Entrega possui materiais perigosos"
"Shipment Dutiable","Entrega Taxada"
"Shipment Duty Payment Type","Tipo de Pagamento para Entrega Taxada"
"Shipment Type","Tipo de Entrega"
"Shipment is not available.","Entrega não está disponível."
"Shipment picked up","Entrega Realizada"
"Shipper Number","Número de Rastreamento"
"Shipping Key","Chave de Entrega"
"Shipping Key (International)","Chave de Entrega (Internacional)"
"Show Method if Not Applicable","Exibir método se não aplicado"
"Size","Tamanho"
"Sort Order","Ordem"
"Standard Overnight","Mesmo dia Standard"
"Station","Estação"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal Com Desconto"
"The response is in wrong format.","O retorno está com formato inválido."
"There is no available method for selected shipping address.","Não existem formas de entregas disponíveis para o endereço informado."
"Third Party","Terceiros"
"Title","Título"
"To Lower","Para baixo"
"To Upper","Para cima"
"Tracking XML URL","Monitorar XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","UPS Type"
"UPS type","Tipo UPS"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"USPS","USPS - Serviço Postal Americano"
"Unable to retrieve tracking","Não foi possível recuperar o rastreador"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Erro desconhecido"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Usado apenas quando 'Valor Adicional Protegido' for marcado em 'Configuração'. Pode conter apenas valores numéricos."
"User ID","ID do Usuário"
"UserId","UserId"
"Variable","Variável"
"Weight Unit","Peso Unitário"
"Worldwide Expedited","Worldwide Expedito"
"Worldwide Express","Worldwide Expresso"
"Worldwide Express Letter","Worldwide Expresso Carta"
"Worldwide Express Plus","Worldwide Expresso Adicional"
"Worldwide Express Plus Letter","Worldwide Expresso Carta Adicional"
"Worldwide Express Saver","Worldwide Expresso Econômico"
"Yes","Sim"
"Your Packaging","Seu Pacote"
